Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Єфименко,Климент,Олександрович,Чоловік,1944-06-11,Економіст,хутір Іловайськ,"набережна Давида Ойстраха, буд. 17, Кременець, 90890",023-14-76,avreliiredko@example.org
Конопленко,Одарка,Олексіївна,Жінка,1946-04-17,Співак,місто Нова Одеса,"шосе Приморський, буд. 676 кв. 5, Зміїв, 42304",+380 (21) 344-85-19,venedykt10@example.org
Бабак,Андрій,Юрійович,Чоловік,1953-04-26,Фармацевт,селище Зугрес,"вулиця Ціолковського, буд. 3 кв. 35, Іловайськ, 68933",234 30 27,leopoldizhak@example.com
Височан,Тереза,Євгенівна,Жінка,1952-12-27,Флорист,хутір Інкерман,"площа Високий, буд. 05 кв. 08, Чистякове, 12686",+380 (26) 525-56-91,omelian00@example.net
Лагода,Галина,Петрівна,Жінка,1987-03-23,Ґрунтознавець,місто Корець,"проспект Чапаєва, буд. 75, Мелітополь, 78739",077 730 48 65,boryslavtytarenko@example.org
Шахрай,Леонід,Сергійович,Чоловік,1982-06-13,Маркетолог,село Борзна,"вулиця Льва Толстого, буд. 9, Нова Одеса, 95407",720-41-73,davyd80@example.net
Андрейко,Христина,Григорівна,Жінка,1963-08-22,Актор,селище Красногорівка,"вулиця Злакова, буд. 44, Шаргород, 95271",084 383-12-67,lukian94@example.org
Удовиченко,Стефан,Іванович,Чоловік,1986-02-07,Дерун,селище Корсунь-Шевченківський,"парк Новомосковська дорога, буд. 2, Старий Крим, 88177",+380 (68) 434-34-78,tsiupasvitlana@example.net
Демʼянюк,Лілія,Андріївна,Жінка,1986-07-10,Фрілансер,хутір Новодністровськ,"провулок Проектна 1-ша, буд. 95 кв. 4, Очаків, 12515",+380 (42) 549-87-56,rhavrylenko@example.net
Єрмоленко,Опанас,Ігорович,Чоловік,1977-12-24,Клоун,село Бережани,"сквер Декабристів, буд. 20 кв. 23, Миронівка, 24996",718-71-68,ruslanhavryliuk@example.com
Дробʼязко,Олена,Володимирівна,Жінка,1969-08-16,Реабілітолог,селище Олександрівськ,"шосе 4-та Суворовська, буд. 2, Миронівка, 22931",+380 (20) 716-14-38,albertdashkevych@example.org
Чайка,Климент,Григорович,Чоловік,1999-08-25,Продюсер,селище Кам'янське,"проспект Поштовий, буд. 3, Теплодар, 61158",+380 41 742 44 58,demian27@example.org
Засенко,Олександр,Олексійович,Чоловік,1960-12-24,Візажист,село Черкаси,"парк Восьмого березня 7-й, буд. 387 кв. 785, Кам'янка-Бузька, 32757",+380 66 774 85 17,tdankevych@example.com
Скиба,Олекса,Степанович,Чоловік,1975-11-20,Електротехнік,хутір Шахтарськ,"площа Іспанська, буд. 5, Лубни, 43772",+380 (29) 943-24-64,ksahal@example.org
Гавриш,Пилип,Михайлович,Чоловік,2006-12-12,Професор,хутір Охтирка,"парк Геологічна, буд. 842, Ізюм, 55000",066 721-36-97,okhrimenkomyroslav@example.com
Сагаль,Едита,Євгенівна,Жінка,1990-12-06,Краєзнавець,село Сколе,"проспект Студентський 2-й, буд. 652, Новодружеськ, 82029",052 460-73-97,opanaszabara@example.net
Вахній,Трохим,Ігорович,Чоловік,2006-09-27,Головний меркшейдер,місто Щастя ,"проспект Лінія 35-та, буд. 48, Борзна, 54938",006 074-58-94,heorhiipalii@example.net
Давиденко,Демид,Ігорович,Чоловік,1942-10-31,Бібліограф,хутір Бібрка,"парк Кострова, буд. 0, Білозерське, 49987",+380 84 209-71-28,vasyllysenko@example.net
Сімашкевич,Артем,Андрійович,Чоловік,1975-01-03,Реабілітолог,місто Новоазовськ,"сквер Василя Кандинського 2-й, буд. 64, Коростишів, 69678",+380 97 240 13 54,shovkopliasroksolana@example.net
Оберемко,Ганна,Петрівна,Жінка,1982-12-14,Золотар,хутір Батурин,"вулиця Куяльницький міст, буд. 652, Галич, 18047",+380 00 927-21-55,zlatoslavabhydenko@example.net
Рубець,Аркадій,Сергійович,Чоловік,1978-05-28,Швачка,село Оріхів,"сквер Тінистий, буд. 954 кв. 46, Гадяч, 41885",690 91 09,rbabiichuk@example.net
Шморгун,Вадим,Степанович,Чоловік,1996-05-08,Дерун,хутір Волноваха,"провулок Трамвайна, буд. 29, Тисмениця, 65358",897-23-67,usykviacheslav@example.org
Ґалаґан,Михайлина,Леонідівна,Жінка,1990-03-16,Шериф,хутір Дніпро ,"проспект Іцхака Рабіна, буд. 892, Енергодар, 20168",063 258-32-99,chornovilzynovii@example.com
Дрозд,Марта,Петрівна,Жінка,2008-01-28,Бібліотекар,місто Тальне,"вулиця Юрія Яновського, буд. 82, Кіцмань, 17281",532-48-09,nhodunok@example.com
Устенко,Святослав,Петрович,Чоловік,1970-05-22,Кухар,селище Здолбунів,"вулиця Виноградна 1-ша, буд. 97 кв. 968, Яготин, 92977",+380 00 356-90-14,boleslavbabko@example.com
Перебийніс,Ігнат,Володимирович,Чоловік,1969-11-30,Флорист,село Бар,"парк Чехова, буд. 2 кв. 49, Корсунь-Шевченківський, 64450",078 321 94 10,semen45@example.com
Гоголь,Руслан,Андрійович,Чоловік,2001-11-06,Геофізик,місто Добропілля,"проспект Черняховського, буд. 74 кв. 1, Ізюм, 18328",197-35-19,iosyp07@example.org
Овсієнко,Валентин,Олександрович,Чоловік,1955-01-04,Режисер,село Славутич,"шосе Сьома, буд. 83 кв. 808, Ніжин, 16430",+380 (85) 487-06-58,vkhorishko@example.org
Яремчук,Андрій,Леонідович,Чоловік,1940-10-28,Бібліограф,селище Світловодськ,"парк Маріїнська, буд. 996, Золотоноша, 71354",005-84-46,babycheduard@example.com
Данильчук,Михайлина,Олексіївна,Жінка,1964-08-18,Мікробіолог,селище Хмільник,"проспект Новоберегова, буд. 17, Сміла, 56961",043 981 36 38,babychdanna@example.org
Дубас,Амвросій,Юрійович,Чоловік,1986-01-07,Професор,місто Покров,"сквер Олександра Невського 3-й, буд. 48, Краматорськ, 03808",040 926-36-92,iholyk@example.com
Яремко,Омелян,Григорович,Чоловік,1974-06-11,Кіноактор,місто Обухів,"набережна Долинська, буд. 04 кв. 2, Алушта, 23178",+380 97 702 67 24,terezababiuk@example.org
Вахній,Віктор,Юрійович,Чоловік,2003-11-14,Перекладач,місто Бахмач,"парк 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 03 кв. 7, Каховка, 52348",021 920-55-34,dmytroprotsenko@example.com
Ємельяненко,Орхип,Степанович,Чоловік,1948-01-14,Юрист,селище Докучаєвськ,"вулиця Мацієвської, буд. 32, Кам'янка (Черкаська область), 26732",801 71 72,violetta79@example.net
Заруба,Степан,Іванович,Чоловік,1992-09-01,Головний меркшейдер,місто Сніжне,"вулиця Гена Іоганна, буд. 494, Вашківці, 18726",061 881-36-44,iaroslavadanko@example.org
Ярош,Мирон,Ігорович,Чоловік,1981-04-23,Електромонтер,місто Немирів,"проспект Отрада, буд. 37 кв. 81, Комарно, 88255",186-32-32,makar82@example.org
Колісниченко,Давид,Олексійович,Чоловік,1988-08-09,Диригент,хутір Хрустальний,"набережна Травневий, буд. 085 кв. 1, Волочиськ, 64885",+380 82 608-45-20,mykhailynazhuchenko@example.net
Цимбалюк,Василь,Іванович,Чоловік,1945-10-19,Електротехнік,селище Сніжне,"шосе Косовський, буд. 76, Городня, 74437",989-01-14,varvaraholoborodko@example.net
Проценко,Надія,Іванівна,Жінка,1961-08-01,Підприємець,селище Тараща,"узвіз Шкільний, буд. 151 кв. 49, Курахове, 95406",032 087 75 43,zbaidak@example.com
Гунько,Гліб,Володимирович,Чоловік,1974-11-25,Стропальник,місто Нікополь,"сквер Чорноморський 9-й, буд. 730 кв. 470, Запоріжжя, 87368",539 32 36,petrenkoserhii@example.net
Вдовенко,Мілена,Михайлівна,Жінка,1959-05-29,Фармацевт,селище Молочанськ,"узвіз Новгородський, буд. 9, Хрестівка, 11649",+380 56 603-81-05,otsisyk@example.org
Атаманюк,Лесь,Олександрович,Чоловік,1954-12-17,Архітектор,селище Дрогобич,"узвіз Старицького, буд. 82 кв. 34, Радивилів, 39210",+380 22 135-42-74,blytvyn@example.org
Голобородько,Іван,Євгенович,Чоловік,1942-03-12,Мінералог,хутір Гайсин,"набережна Лінія 32-га, буд. 444, Скалат, 21884",251-46-80,azar14@example.org
Власенко,Петро,Васильович,Чоловік,1959-05-09,Золотар,хутір Українка ,"сквер Лунний, буд. 2, Могилів-Подільський, 03552",+380 (58) 739-73-57,vadym95@example.org
Деревʼянко,Юстина,Леонідівна,Жінка,1984-06-28,Антрополог,село Нововолинськ,"площа Каманіна, буд. 8 кв. 55, Трускавець, 50670",+380 (13) 411-88-19,abandera@example.org
Черінько,Климент,Олексійович,Чоловік,1986-05-19,Хореограф,хутір Інкерман,"узвіз Леваневського, буд. 060, Запоріжжя, 17223",001 799 95 26,rsirko@example.org
Атрощенко,Пантелеймон,Ігорович,Чоловік,1953-03-03,Ветеринар,селище Хуст,"площа Іванова Ігоря, буд. 823, Богодухів, 91221",057 912-95-39,emiliiastelmakh@example.org
Чуйко,Златослава,Сергіївна,Жінка,1951-09-28,Геофізик,село Куп'янськ,"вулиця Парашутний, буд. 10 кв. 317, Алушта, 29012",019 060-90-95,solomiiaskyba@example.com
Хоменко,Валентин,Юрійович,Чоловік,1952-12-02,Електромонтер,село Богодухів,"сквер Володимира Вінниченка, буд. 9 кв. 1, Підгайці, 52150",+380 (16) 505-82-25,darkhymovych@example.net
Шведченко,Олег,Ігорович,Чоловік,1987-09-05,Фізик,хутір Бердичів,"узвіз Баркасний, буд. 03 кв. 9, Краматорськ, 47119",+380 51 336 63 89,dpavlenko@example.org
Влох,Віолетта,Петрівна,Жінка,1998-04-11,Пілот,село Жданівка,"вулиця Юхима Фесенка, буд. 9 кв. 29, Глиняни, 62333",+380 96 669 13 55,roksolanaabrahamovska@example.net
Жайворон,Тереза,Андріївна,Жінка,1941-04-30,Композитор,хутір Володимир-Волинський,"парк Амурський 1-й, буд. 07 кв. 305, Долина , 53870",349 36 52,terezakarpenko@example.com
Бабко,Сніжана,Григорівна,Жінка,1960-05-02,Публіцист,селище Лутугине,"провулок Сортувальна 1-ша, буд. 18, Бердичів, 80000",021 060-03-15,bezborodkoazar@example.com
Швачко,Галина,Дмитрівна,Жінка,1995-04-10,Ботанік,селище Бучач,"площа Хутірська, буд. 85, Городенка, 43213",+380 84 230 48 51,adamvlasenko@example.org
Яременко,Тереза,Михайлівна,Жінка,1946-11-01,Бібліограф,місто Старий Крим,"площа Самарська, буд. 29, Ланівці, 50035",627-02-11,korbutvasylyna@example.org
Тимченко,Аркадій,Леонідович,Чоловік,2002-09-25,Мірошник,селище Мена ,"набережна Тепличний 1-й, буд. 1 кв. 3, Золотоноша, 66879",+380 88 523 77 84,jmamchur@example.com
Вергун,Леопольд,Петрович,Чоловік,1972-06-12,Будник,село Корюківка,"проспект Зоринська, буд. 5 кв. 066, Сарни, 87771",075 971 35 22,nestorlukash@example.org
Шиян,Марина,Леонідівна,Жінка,1972-07-24,Електротехнік,хутір Мерефа,"набережна Магістральна, буд. 15 кв. 5, Дубровиця, 49565",+380 (79) 218-56-10,iustymperepelytsia@example.com
Ященко,Василь,Андрійович,Чоловік,1965-05-12,Диригент,місто Павлоград,"узвіз Шахтинський, буд. 04, Арциз, 02140",435 47 37,tonufriienko@example.org
Луценко,Ліза,Ігорівна,Жінка,1941-09-15,Дизайнер,селище Зеленодольськ,"набережна Перемоги, буд. 53, Остер , 62833",583-34-96,aaron57@example.org
Авраменко,Веніямин,Євгенович,Чоловік,2000-06-22,Кінорежисер,місто Ірпінь,"шосе Мічуріна, буд. 332, Обухів, 36296",723 37 49,pylyp74@example.com
Єщенко,Семен,Ігорович,Чоловік,1956-05-28,Художник,хутір Ходорів,"проспект Казанська, буд. 211, Бориспіль, 36613",440-33-64,perepelytsiabohuslav@example.net
Шведченко,Мартин,Михайлович,Чоловік,2008-04-11,Скульптор,село Петрово-Красносілля,"площа Толбухіна, буд. 14 кв. 996, Чорнобиль, 54055",+380 83 292 00 24,sdotsenko@example.net
Сиротенко,Розалія,Петрівна,Жінка,1999-07-04,Секретар,хутір Верхньодніпровськ,"набережна Нафтовиків 1-й, буд. 1 кв. 93, Чистякове, 27156",+380 (40) 670-64-14,ldrobiazko@example.com
Рябошапка,Соломія,Юріївна,Жінка,1941-04-11,Актор,хутір Алчевськ,"узвіз Лінія 46-та, буд. 289, Старий Крим, 11434",019 986-24-11,jbandura@example.net
Данчук,Ольга,Олегівна,Жінка,1984-08-01,Мистецтвознавець,місто Сіверськ,"провулок Теплична, буд. 851, Сокаль, 08260",827-55-77,izhadan@example.net
Лаба,Леонід,Васильович,Чоловік,1952-08-20,Акушер,село Костопіль,"вулиця Корнюшина, буд. 292, Щастя , 73782",+380 49 830-34-26,svitlanakarmaliuk@example.org
Оберемко,Маруся,Сергіївна,Жінка,1958-05-13,Архітектор,селище Харцизьк,"площа Нова, буд. 9 кв. 087, Енергодар, 87602",086 531 18 29,bezborodkopylyp@example.net
Давимука,Вадим,Юрійович,Чоловік,1983-05-15,Хореограф,село Ніжин,"вулиця Вузький, буд. 47 кв. 44, Маріуполь, 57472",+380 44 851 81 10,rriabovil@example.com
Ґереґа,Данна,Ігорівна,Жінка,1999-10-12,Ді-джей,хутір Роздільна,"шосе Контрадмірала Луніна, буд. 8 кв. 9, Вуглегірськ, 65617",037 670 91 05,fdutka@example.com
Чабан,Лукʼян,Олексійович,Чоловік,1973-06-02,Краєзнавець,хутір Корюківка,"набережна Будівельна, буд. 21 кв. 627, Київ, 56861",+380 (75) 717-37-71,zhuravelliudmyla@example.net
Супруненко,Святослава,Петрівна,Жінка,1974-11-10,Стропальник,село Болград,"вулиця Отамана Головатого, буд. 2 кв. 243, Вовчанськ, 42672",+380 (43) 717-35-35,livanenko@example.org
Верхола,Адам,Олексійович,Чоловік,1946-09-16,Стиліст,хутір Оріхів,"парк П'ята, буд. 63, Хоростків, 11897",+380 13 066 85 68,moberemko@example.net
Артим,Франц,Михайлович,Чоловік,1940-03-12,Економіст,село Старий Крим,"узвіз Балтський 7-й, буд. 65, Богодухів, 52527",158-16-84,vashchenkopriska@example.com
Валенко,Кирило,Олександрович,Чоловік,1970-10-20,Патологоанатом,село Ізмаїл,"провулок Кримський, буд. 997, Армянськ, 30346",+380 (55) 571-41-35,bohuslavieremenko@example.net
Рябошапка,Еріка,Юріївна,Жінка,1991-04-18,Кінорежисер,село Судак ,"проспект Наявний 4-й, буд. 8, Южноукраїнськ, 99095",522 28 54,oleh87@example.com
Салій,Симон,Григорович,Чоловік,1940-08-19,Етнограф,село Покровськ,"площа Заводська 3-тя, буд. 79, Болехів, 49284",+380 66 500-66-84,vromanets@example.org
Захаренко,Аарон,Васильович,Чоловік,1943-01-16,Пілот,селище Біла Церква,"набережна Морехідна, буд. 59, Любомль, 47179",019 393-96-08,mshvachka@example.org
Александренко,Антон,Володимирович,Чоловік,1989-04-14,Дизайнер,селище Запоріжжя,"проспект Інглезі, буд. 50, Одеса, 99750",748-41-00,oksanahavrylenko@example.net
Андрійчук,Марта,Андріївна,Жінка,1970-03-12,Футболіст,село Мерефа,"провулок Чорноморська, буд. 88, Вишгород, 25385",+380 91 526 24 27,spas06@example.com
Кибкало,Степан,Петрович,Чоловік,1984-11-28,Графік,місто Олександрівськ,"сквер Прохоровський, буд. 0 кв. 0, Нетішин, 63661",072 035 50 22,lshtokalo@example.com
Зайченко,Леонід,Євгенович,Чоловік,1949-01-31,Детектив,селище Чоп,"парк Рельєфна, буд. 66, Попасна, 62000",+380 15 655 94 32,oksana98@example.com
Єрченко,Роксолана,Михайлівна,Жінка,1994-11-01,Доцент,село Славута,"парк Сливова, буд. 729, Полтава, 91117",+380 (46) 133-40-91,venedyktkorpaniuk@example.net
Дзюба,Сніжана,Євгенівна,Жінка,1941-09-30,Ріелтор,селище Кальміуське,"площа Івасюка Володимира, буд. 9 кв. 87, Рава-Руська, 16117",+380 20 246 77 80,ymatviienko@example.com
Затовканюк,Данило,Олегович,Чоловік,2000-05-27,Реабілітолог,місто Тараща,"сквер Ботанічний, буд. 60 кв. 97, Ізмаїл, 85963",+380 (11) 677-71-08,iefrem70@example.com
Симоненко,Олег,Андрійович,Чоловік,1951-08-26,Реставратор,село Перемишляни,"сквер Маячний, буд. 8, Сєвєродонецьк, 50065",403-65-18,ukolodub@example.org
Фастенко,Феофан,Михайлович,Чоловік,1974-07-09,Кінорежисер,місто Чугуїв,"парк Героїв оборони Одеси, буд. 37, Фастів, 70346",+380 13 462 87 19,leszaporozhets@example.org
Баранник,Сергій,Іванович,Чоловік,1960-09-13,Мистецтвознавець,селище Луцьк,"вулиця Машинобудівний, буд. 853 кв. 6, Синельникове, 76176",+380 04 936-37-96,stefan20@example.org
Хомик,Мирослав,Володимирович,Чоловік,1991-05-31,Хореограф,селище Єнакієве,"сквер Одеська, буд. 9, Бровари, 63010",047 172-68-00,boryslavruban@example.org
Алексійчук,Ілля,Степанович,Чоловік,1938-07-26,Візажист,село Кам'янець-Подільський,"узвіз Рибальський, буд. 8 кв. 4, Снігурівка, 90793",087 989-69-27,hryhorii58@example.org
Зінчук,Валентин,Васильович,Чоловік,1955-05-17,Гінеколог,село Тернівка ,"провулок Новгородська, буд. 8, Синельникове, 41058",083 954 16 74,mromanenko@example.com
Шведченко,Емілія,Іванівна,Жінка,1970-03-17,Гірничий інженер,селище Гадяч,"узвіз Хвойний, буд. 944 кв. 21, Кролевець, 40383",+380 40 523 52 44,alinaizhakevych@example.org
Дубас,Дмитро,Леонідович,Чоловік,1998-12-22,Астронавт,хутір Сміла,"шосе Сурикова 2-й, буд. 486, Запоріжжя, 35930",545 95 60,yriabchenko@example.com
Гузь,Орися,Дмитрівна,Жінка,1979-12-21,Продюсер,хутір Дрогобич,"парк 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 4, Бершадь, 41682",+380 44 863 80 53,ruslan09@example.org
Онищенко,Юстим,Олександрович,Чоловік,1969-12-18,М'ясник,селище Хорол ,"набережна Дмитрія Донського, буд. 3 кв. 734, Сімферополь, 03831",194 60 75,boryslav80@example.net
Носаченко,Гліб,Олегович,Чоловік,1966-10-19,Медик,селище Трускавець,"провулок Мирна, буд. 4 кв. 41, Нове Давидково, 07584",+380 68 567-82-85,labaroksolana@example.org
Заєць,Пармен,Степанович,Чоловік,1989-07-20,Головний меркшейдер,місто Сторожинець,"проспект Середня, буд. 7 кв. 87, Ковель, 53044",013 408 86 00,eduard00@example.com
Єщенко,Тимофій,Васильович,Чоловік,1972-07-30,Модель,селище Хирів,"узвіз Штабний, буд. 983 кв. 48, Люботин, 16087",434-65-73,iarema16@example.net
Батюк,Оксенія,Дмитрівна,Жінка,1943-11-22,Електрик,місто Щастя ,"узвіз Безіменний, буд. 737, Баштанка, 08541",417-26-64,anastasiia97@example.org
Яремчук,Орися,Михайлівна,Жінка,1942-01-18,Державний службовець,хутір Здолбунів,"узвіз Ломоносова, буд. 40, Тетіїв, 47748",032 786-41-08,zzhadan@example.net
Чаленко,Тимофій,Дмитрович,Чоловік,1947-05-01,Петрограф,селище Дружківка,"парк Злакова, буд. 671, Батурин, 15641",053 913-81-91,omelianazhazha@example.org
Чміль,Камілла,Михайлівна,Жінка,1985-05-08,Реабілітолог,місто Скадовськ,"вулиця Савранська, буд. 927, Лубни, 98036",+380 27 696 91 40,shynkarenkookseniia@example.org
Ткач,Дан,Юрійович,Чоловік,1981-11-18,Художник,селище Географія Вільнянська,"узвіз Коцюбинського, буд. 350 кв. 00, Ватутіне, 05172",+380 75 854 59 51,mariiaandriienko@example.net
Артимишина,Ярина,Леонідівна,Жінка,1944-06-14,Державний службовець,хутір Сокаль,"узвіз Кострова, буд. 0 кв. 12, Перещепине, 76400",+380 53 132-74-87,mykhailo71@example.org
Бгиденко,Панас,Олександрович,Чоловік,2007-01-14,Зоолог,хутір Дружківка,"проспект Художника Федорова, буд. 69 кв. 95, Могилів-Подільський, 19155",032 612-15-95,qumanets@example.com
Нестайко,Олесь,Юрійович,Чоловік,1978-03-05,Промисловець,місто Чуднів,"проспект Рівності, буд. 22 кв. 141, Старокостянтинів, 60067",064 330-68-40,skopenkoiosyp@example.net
Гузь,Олекса,Олександрович,Чоловік,1963-09-30,Педагог,село Родинське,"шосе Більшовицький, буд. 84, Копичинці, 36710",044 424-71-07,jfurs@example.net
Пушкар,Стефан,Григорович,Чоловік,1961-12-22,Драматург,село Вуглегірськ,"шосе Лесі Українки, буд. 348, Погребище, 25683",017 250-05-03,tvernyhora@example.com
Алексюк,Орхип,Андрійович,Чоловік,2000-03-12,Адвокат,хутір Жмеринка,"сквер Азербайджан, буд. 693 кв. 4, Чистякове, 27883",+380 22 439-14-52,chaikadmytro@example.com
Опанасенко,Антон,Володимирович,Чоловік,1938-10-31,Музикант,хутір Городня,"шосе Старобазарний, буд. 55, Теплодар, 45256",000 851 78 51,arsenychiaroslava@example.com
Ващенко-Захарченко,Прохір,Михайлович,Чоловік,1953-01-16,Гірник,село Таврійськ,"вулиця Зоринська, буд. 415 кв. 8, Ходорів, 80368",004 150 83 93,andriievychleon@example.net
Єрошенко,Оксенія,Леонідівна,Жінка,2005-06-16,Підприємець,місто Переяслав,"вулиця Кільцева, буд. 48 кв. 1, Самбір, 92066",391 72 82,pkarpenko@example.com
Данькевич,Марта,Михайлівна,Жінка,1972-03-04,Педагог,місто Ніжин,"узвіз Ватманський, буд. 946, Перещепине, 53450",+380 18 116-16-29,savenkoandrii@example.net
Атаманюк,Андрій,Григорович,Чоловік,1949-06-01,Пілот,хутір Звенигородка,"набережна Зелена балка, буд. 643 кв. 861, Овруч, 15846",043 458-87-34,bbezditko@example.com
Дуплій,Тарас,Олегович,Чоловік,1942-10-10,Педагог,хутір Жмеринка,"площа Дев’ята, буд. 473, Белз, 73804",071 805 78 50,dankevychtaras@example.org
Асаула,Ярема,Григорович,Чоловік,1991-09-22,Ветеринар,хутір Чорноморськ,"шосе Толбухіна, буд. 9 кв. 3, Березівка, 95979",+380 57 727-31-20,akulenkonazar@example.com
Бараник,Микита,Богданович,Чоловік,1994-09-04,Реабілітолог,село Узин,"набережна Хаджибейський 2-й, буд. 7, Благовіщенське, 15018",011 485 61 18,tlytvynenko@example.com
Пилипенко,Єва,Григорівна,Жінка,1977-09-15,Фрілансер,місто Олександрівськ,"площа Пляжна, буд. 53, Сорокине, 45973",051 752-37-45,tverdokhlibleontii@example.org
Данькевич,Володимир,Іванович,Чоловік,1982-09-24,Бібліотекар,село Острог,"проспект Лиманна, буд. 48, Мостиська, 96799",+380 09 811-54-78,danylo51@example.net
Височан,Аарон,Євгенович,Чоловік,1947-01-29,Реабілітолог,місто Рудки,"площа Недєліна, буд. 0, Тернопіль, 28633",424 62 23,irenakalchenko@example.org
Їжакевич,Емілія,Сергіївна,Жінка,1990-06-20,Фермер,хутір Здолбунів,"сквер Салтикова-Щедріна, буд. 8, Маріуполь, 22896",517-56-54,hryhorii69@example.org
Франко,Василь,Григорович,Чоловік,1980-03-04,Перекладач,селище Торецьк,"парк Лінія 50-та, буд. 7 кв. 3, Городище , 43215",196-85-40,ruslansimashkevych@example.com
Вобла,Амалія,Богданівна,Жінка,1939-11-06,Ювелір,місто Дружба ,"набережна Дніпропетровська дорога, буд. 5, Кілія, 62901",537-89-91,arseniesypenko@example.net
Бабариченко,Костянтин,Володимирович,Чоловік,1973-04-16,Астроном,село Щастя ,"парк Восьмого березня 6-й, буд. 34 кв. 7, Березне, 10973",+380 76 827 67 54,hpylypenko@example.com
Андрощук,Михайло,Володимирович,Чоловік,1949-12-04,Сценарист,селище Суходільськ,"сквер Грецька, буд. 82, Рівне, 44107",749 76 77,liliia03@example.net
Пилипенко,Борис,Васильович,Чоловік,1989-07-23,Музичний редактор,село Яготин,"провулок Цегельнозаводська, буд. 272 кв. 009, Павлоград, 18268",294-80-85,oiatsenko@example.net
Гузенко,Едуард,Сергійович,Чоловік,1994-02-17,Юрист,хутір Чистякове,"сквер Комітетська, буд. 273 кв. 082, Іловайськ, 65654",943 66 75,eshylo@example.net
Карась,Августин,Юрійович,Чоловік,1995-10-30,Драматург,село Долинська,"шосе Балтський 3-й, буд. 15, Збараж, 60779",+380 59 148-28-00,pavlykanastasiia@example.org
Тесля,Гаврило,Степанович,Чоловік,1976-05-15,Штукатур,селище Радивилів,"шосе Троїцька, буд. 681, Амвросіївка, 76123",+380 23 720-10-49,azhaivoron@example.net
Михалюк,Спас,Олегович,Чоловік,2004-09-05,Адвокат,місто Сватове,"шосе Берегова, буд. 138, Сквира, 27382",+380 (74) 377-79-14,aronetsmaryna@example.net
Непорожній,Орест,Олександрович,Чоловік,1940-07-20,Няня,місто Яремче,"парк Жоліо-Кюрі, буд. 41, Кальміуське, 46907",+380 (45) 705-65-41,bohdanshablii@example.com
Рябошапка,Марина,Василівна,Жінка,1973-01-09,Кінорежисер,селище Татарбунари,"сквер Братів Поджіо, буд. 86 кв. 5, Суми, 68484",078 441-18-53,tarasiemets@example.net
Охримович,Юстина,Леонідівна,Жінка,1997-11-01,М'ясник,місто Ірпінь,"шосе Канатний, буд. 26, Жидачів, 43374",252-07-91,boleslavruban@example.com
Михалюк,Артем,Григорович,Чоловік,1993-05-13,Парфюмер,селище Шпола,"шосе Дружний, буд. 958 кв. 740, Хмельницький, 82015",032 589 76 04,andriichukvalentyn@example.org
Демʼяненко,Сніжана,Михайлівна,Жінка,1961-06-02,Дипломат,село Чугуїв,"сквер Просьолочна, буд. 10, Алушта, 13938",+380 (96) 064-90-24,cbaran@example.net
Баранник,Амалія,Юріївна,Жінка,1969-03-29,Кінокритик,селище Скадовськ,"сквер 7-ма Суворовська, буд. 8, Тернівка , 01545",+380 43 901-42-19,kovpakleon@example.net
Іваненко,Ігор,Олексійович,Чоловік,1995-02-14,Медик,селище Новомиргород,"набережна Академіка Гаркавого, буд. 6 кв. 45, Лисичанськ, 56646",+380 54 300-60-42,kovpakmykhailo@example.com
Оліфіренко,Галина,Володимирівна,Жінка,1997-06-11,Біолог,селище Олешки,"узвіз Водопровідна, буд. 70, Мар'їнка, 76451",+380 01 002 87 84,jabrahamovska@example.com
Оробець,Зиновій,Васильович,Чоловік,1993-06-24,Архітектор,селище Хрестівка,"проспект Миколи Плигуна, буд. 8, Мерефа, 34589",+380 44 654-32-70,boleslav13@example.net
Артюшенко,Миколай,Ігорович,Чоловік,1945-06-27,Громадський діяч,село Хирів,"шосе Скворцова, буд. 2, Почаїв, 20873",056 136-68-72,ielyseiovcharenko@example.org
Єрьоменко,Ярина,Олексіївна,Жінка,2003-09-22,Музикознавець,село Теребовля,"сквер Віцеадмірала Жукова, буд. 67, Немирів, 04700",+380 (86) 705-89-90,anzhela37@example.net
Чміль,Маруся,Богданівна,Жінка,1975-01-09,Фотограф,місто Костопіль,"парк Чорноморський 11-й, буд. 195 кв. 5, Нове Давидково, 93400",+380 (10) 490-95-01,rozaliia77@example.net
Носаченко,Леон,Володимирович,Чоловік,1963-05-02,Астрофізик,хутір Кременчук,"шосе Лютеранський, буд. 5, Очаків, 97953",097 458-84-46,eavramchuk@example.com
Смик,Орхип,Олександрович,Чоловік,1989-04-24,Фізик,місто Чортків,"сквер 21-й км Старокиївської дороги, буд. 6 кв. 9, Часів Яр, 96244",008 221-84-81,tymchukbohdan@example.org
Гречко,Марʼяна,Ігорівна,Жінка,1985-12-17,Диригент,село Новоукраїнка,"площа Дубова, буд. 78 кв. 56, Горохів, 50820",050 309 60 13,leontiionyshchenko@example.org
Батіг,Герман,Володимирович,Чоловік,1972-03-18,Різноробочий,місто Батурин,"парк Молодіжна, буд. 581, Тараща, 43927",+380 26 271-84-49,ustym50@example.net
